assignment_grade_id,assignment_id,student_id,score,submission_date,feedback
1,1,3001,0.37,2025-05-13 03:31:32,Помолчать рабочий жестокий умирать еврейский полоска банда коммунизм.,2025-05-24 17:35:01.559157
2,1,5415,28.35,2025-04-24 21:53:08,Прелесть передо развитый потом другой коллектив пасть.,2025-05-24 17:35:01.559157
3,1,9511,18.76,2025-03-07 00:26:37,Зачем функция наступать командир руководитель кольцо процесс.,2025-05-24 17:35:01.559157
4,1,5461,50.97,2025-04-24 06:06:15,Следовательно мелочь болото за о труп.,2025-05-24 17:35:01.559157
5,1,9123,22.23,2025-03-16 06:10:05,Беспомощный более смелый научить вздрагивать.,2025-05-24 17:35:01.559157
6,1,6723,47.13,2025-01-01 20:42:17,Изменение миф собеседник академик иной.,2025-05-24 17:35:01.559157
7,1,7891,14.75,2025-01-28 10:41:45,Прелесть задрать остановить видимо.,2025-05-24 17:35:01.559157
8,1,2453,65.56,2025-03-21 22:29:13,Конструкция заработать домашний сбросить холодно поймать выдержать.,2025-05-24 17:35:01.559157
9,1,4941,68.59,2024-11-24 09:48:26,Снимать пасть затянуться точно.,2025-05-24 17:35:01.559157
10,1,5637,25.41,2025-05-07 10:19:13,Зачем подробность посвятить непривычный налоговый мгновение забирать.,2025-05-24 17:35:01.559157
11,1,7311,98.13,2024-12-20 05:07:06,Расстройство услать торопливый слишком встать кпсс палка.,2025-05-24 17:35:01.559157
12,1,9061,75.71,2025-06-14 14:07:26,Встать войти дьявол эффект голубчик устройство естественный темнеть.,2025-05-24 17:35:01.559157
13,1,9291,89.29,2025-03-09 13:05:52,Забирать зеленый сомнительный.,2025-05-24 17:35:01.559157
14,1,1599,22.23,2025-04-08 00:52:00,Конференция торговля помимо страсть.,2025-05-24 17:35:01.559157
15,1,6873,60.60,2025-06-08 20:33:22,Июнь угроза уничтожение дрогнуть головной.,2025-05-24 17:35:01.559157
16,1,3993,49.62,2025-01-22 15:54:35,Вперед холодно уточнить космос актриса витрина очко.,2025-05-24 17:35:01.559157
17,1,6234,21.56,2025-02-18 18:39:14,Падать запустить труп витрина картинка точно бок.,2025-05-24 17:35:01.559157
18,1,7115,1.42,2025-03-01 07:37:03,Ленинград очко головной плод господь подробность висеть.,2025-05-24 17:35:01.559157
19,1,7842,3.69,2025-01-24 08:05:37,Полевой спорт ведь шлем функция юный пропасть.,2025-05-24 17:35:01.559157
20,1,62,4.77,2025-04-14 11:37:40,Армейский ученый инвалид через.,2025-05-24 17:35:01.559157
21,1,7704,51.62,2024-12-11 18:39:58,Исследование блин сходить проход поезд.,2025-05-24 17:35:01.559157
22,1,6279,61.68,2024-12-16 21:01:11,Успокоиться за валюта бровь премьера редактор.,2025-05-24 17:35:01.559157
23,1,7072,26.54,2025-04-01 15:50:13,Левый число точно некоторый.,2025-05-24 17:35:01.559157
24,1,9944,34.55,2025-04-05 11:56:30,Сынок смертельный перебивать термин инструкция ботинок еврейский помимо.,2025-05-24 17:35:01.559157
25,1,8529,95.58,2025-04-07 05:48:28,Роскошный носок грудь близко вывести.,2025-05-24 17:35:01.559157
26,1,5180,28.16,2024-12-04 05:00:29,Место спичка миллиард парень затянуться.,2025-05-24 17:35:01.559157
27,1,2682,4.65,2025-03-17 03:40:46,Опасность неправда бабочка увеличиваться.,2025-05-24 17:35:01.559157
28,1,8015,86.39,2025-03-24 12:23:36,Дорогой командование крыса сынок.,2025-05-24 17:35:01.559157
29,1,3743,27.13,2025-05-24 21:35:19,Команда умирать мелочь помимо.,2025-05-24 17:35:01.559157
30,1,230,84.25,2025-04-23 06:59:07,Эффект полюбить художественный неправда угол.,2025-05-24 17:35:01.559157
31,1,707,10.50,2025-02-02 11:13:07,Изображать дошлый термин заплакать.,2025-05-24 17:35:01.559157
32,1,518,32.53,2025-01-06 06:38:01,Какой желание самостоятельно.,2025-05-24 17:35:01.559157
33,1,80,63.34,2024-12-06 17:57:34,Тесно очутиться непривычный витрина означать совещание.,2025-05-24 17:35:01.559157
34,1,9,94.47,2025-02-16 07:23:38,Проход освобождение заявление светило тревога.,2025-05-24 17:35:01.559157
35,1,685,17.88,2024-11-19 15:05:59,Некоторый госпожа угол строительство дьявол мучительно крутой единый.,2025-05-24 17:35:01.559157
36,1,4294,93.01,2025-06-13 07:39:21,Торопливый демократия расстройство монета тесно полностью совещание спалить.,2025-05-24 17:35:01.559157
37,1,2021,98.58,2025-02-23 18:06:06,Второй затянуться фонарик банда.,2025-05-24 17:35:01.559157
38,1,5300,9.01,2025-06-05 03:50:47,Бригада житель сверкающий посидеть необычный.,2025-05-24 17:35:01.559157
39,1,6541,14.92,2025-02-09 20:16:00,Горький вряд о металл тысяча ломать необычный.,2025-05-24 17:35:01.559157
40,1,5799,87.38,2025-02-10 04:06:25,Развитый салон народ порода цвет дьявол.,2025-05-24 17:35:01.559157
41,1,969,94.78,2024-12-07 05:55:59,Грустный желание невыносимый поговорить команда печатать госпожа.,2025-05-24 17:35:01.559157
42,1,5218,17.27,2025-02-10 04:42:42,Изучить ученый поговорить возмутиться.,2025-05-24 17:35:01.559157
43,1,6436,22.70,2025-03-19 06:08:06,Следовательно пастух покидать легко бетонный.,2025-05-24 17:35:01.559157
44,1,4258,63.82,2025-03-23 16:21:30,Предоставить правление правильный выраженный намерение пол.,2025-05-24 17:35:01.559157
45,1,5934,46.23,2024-12-28 22:56:12,Изредка табак привлекать банк столетие актриса правильный тюрьма.,2025-05-24 17:35:01.559157
46,1,4939,85.98,2024-11-23 04:58:34,Табак военный мимо собеседник мелочь сустав задрать трубка.,2025-05-24 17:35:01.559157
47,1,7871,5.77,2025-03-12 09:17:28,Крыса умирать господь дружно рот функция витрина.,2025-05-24 17:35:01.559157
48,1,6167,74.00,2025-04-30 19:33:05,Дрогнуть волк чем терапия.,2025-05-24 17:35:01.559157
49,1,9832,35.55,2025-02-06 07:19:19,Тревога обида порог.,2025-05-24 17:35:01.559157
50,1,5633,97.45,2025-01-30 10:05:35,Аж еврейский вчера грустный совещание вскинуть мера.,2025-05-24 17:35:01.559157
51,2,9603,61.84,2024-11-09 20:50:21,Покинуть построить упорно природа художественный экзамен вчера.,2025-05-24 17:35:01.559157
52,2,7042,91.39,2024-11-08 00:05:39,Холодно кпсс сынок мимо угроза привлекать ручей.,2025-05-24 17:35:01.559157
53,2,2021,69.79,2024-11-07 02:38:28,Житель металл смеяться коробка скользить передо мгновение падать.,2025-05-24 17:35:01.559157
54,2,5473,76.85,2024-11-06 06:56:32,Слать сомнительный зима.,2025-05-24 17:35:01.559157
55,2,7485,52.59,2024-11-08 11:41:56,Прежний собеседник услать ныне спорт решение.,2025-05-24 17:35:01.559157
56,2,6809,31.13,2024-11-08 03:05:58,Важный отъезд тюрьма.,2025-05-24 17:35:01.559157
57,2,232,19.07,2024-11-06 14:06:16,Житель актриса равнодушный картинка прежде печатать коммунизм.,2025-05-24 17:35:01.559157
58,2,7267,38.84,2024-11-06 01:51:04,Неожиданно уточнить костер триста развитый.,2025-05-24 17:35:01.559157
59,2,3091,89.72,2024-11-08 15:29:13,Цепочка коробка развитый жить угодный.,2025-05-24 17:35:01.559157
60,2,5575,97.23,2024-11-09 13:53:19,Горький потрясти настать самостоятельно сутки.,2025-05-24 17:35:01.559157
61,2,7072,47.24,2024-11-07 14:07:37,Научить ярко инфекция скрытый спалить.,2025-05-24 17:35:01.559157
62,2,1431,10.66,2024-11-06 02:47:59,Коричневый падать освободить невозможно.,2025-05-24 17:35:01.559157
63,2,7063,72.66,2024-11-08 10:21:09,Терапия о пастух угол новый анализ.,2025-05-24 17:35:01.559157
64,2,3606,22.70,2024-11-06 04:56:29,Написать правление добиться жить.,2025-05-24 17:35:01.559157
65,2,1725,92.23,2024-11-07 08:16:21,Поздравлять выражаться невыносимый песня покинуть.,2025-05-24 17:35:01.559157
66,2,3562,70.96,2024-11-08 04:09:27,Бетонный иной очко горький.,2025-05-24 17:35:01.559157
67,2,9123,61.08,2024-11-09 13:56:20,Непривычный сутки степь уточнить самостоятельно.,2025-05-24 17:35:01.559157
68,2,1561,35.85,2024-11-09 12:06:07,Руководитель табак танцевать палец художественный мусор.,2025-05-24 17:35:01.559157
69,2,6723,70.96,2024-11-06 05:50:59,Порядок счастье четко невозможно.,2025-05-24 17:35:01.559157
70,2,4656,0.66,2024-11-08 14:31:13,Ремень ручей валюта а оборот.,2025-05-24 17:35:01.559157
71,2,6234,90.03,2024-11-07 17:06:36,Мучительно степь карандаш спичка господь сбросить.,2025-05-24 17:35:01.559157
72,2,9902,66.62,2024-11-08 00:18:48,Опасность возмутиться плод миф ручей упорно.,2025-05-24 17:35:01.559157
73,2,9601,98.86,2024-11-09 01:51:50,Мрачно тюрьма грустный рай а бабочка.,2025-05-24 17:35:01.559157
74,2,5300,72.12,2024-11-08 01:14:34,Монета манера дурацкий настать.,2025-05-24 17:35:01.559157
75,2,5880,16.59,2024-11-06 16:42:32,Рот прощение задержать сынок пятеро.,2025-05-24 17:35:01.559157
76,2,5499,30.34,2024-11-08 01:08:09,Изучить еврейский печатать сопровождаться ложиться господь прошептать коробка.,2025-05-24 17:35:01.559157
77,2,5934,1.92,2024-11-09 18:45:16,Роскошный мотоцикл выбирать инструкция идея материя.,2025-05-24 17:35:01.559157
78,2,3339,38.47,2024-11-09 01:14:28,Столетие четыре постоянный плод триста руководитель спалить.,2025-05-24 17:35:01.559157
79,2,7842,37.01,2024-11-06 18:25:28,Подземный возможно прошептать сверкать скользить.,2025-05-24 17:35:01.559157
80,2,7891,82.52,2024-11-08 00:23:10,Труп холодно подробность славный.,2025-05-24 17:35:01.559157
81,2,8599,59.02,2024-11-09 19:37:42,Коричневый сынок заработать степь уничтожение хлеб провинция спорт.,2025-05-24 17:35:01.559157
82,2,6653,60.84,2024-11-08 12:09:34,Пятеро развернуться бегать второй изредка космос песня пересечь.,2025-05-24 17:35:01.559157
83,2,5823,59.66,2024-11-09 07:15:31,Столетие лапа очко темнеть.,2025-05-24 17:35:01.559157
84,2,6005,6.47,2024-11-07 21:57:49,Монета потрясти висеть наткнуться собеседник скользить.,2025-05-24 17:35:01.559157
85,2,4736,81.51,2024-11-07 03:50:16,Покидать спорт теория скользить второй один находить помолчать.,2025-05-24 17:35:01.559157
86,2,3865,44.78,2024-11-08 18:43:56,Разводить написать слишком солнце намерение.,2025-05-24 17:35:01.559157
87,2,9144,8.74,2024-11-08 01:01:11,Сходить поймать миг кпсс оборот монета.,2025-05-24 17:35:01.559157
88,2,3253,89.92,2024-11-06 17:34:12,Сынок соответствие собеседник кольцо соответствие пространство лететь.,2025-05-24 17:35:01.559157
89,2,5452,62.05,2024-11-09 11:40:48,Да выраженный медицина строительство.,2025-05-24 17:35:01.559157
90,2,1808,83.27,2024-11-06 06:19:59,Скользить прежний лететь миллиард манера.,2025-05-24 17:35:01.559157
91,2,4333,19.88,2024-11-09 02:19:41,Армейский коллектив адвокат ребятишки поколение космос.,2025-05-24 17:35:01.559157
92,2,9146,86.91,2024-11-07 18:22:01,Исполнять провинция житель выраженный постоянный.,2025-05-24 17:35:01.559157
93,2,4864,52.57,2024-11-07 17:41:07,Инструкция посвятить выраженный чувство.,2025-05-24 17:35:01.559157
94,2,8529,25.21,2024-11-08 09:27:09,Присесть бак пропадать разуметься кпсс демократия полоска гулять.,2025-05-24 17:35:01.559157
95,2,5135,22.51,2024-11-08 09:35:22,Остановить возбуждение мгновение очередной премьера.,2025-05-24 17:35:01.559157
96,2,3587,92.69,2024-11-06 08:36:48,Неправда плясать порт дошлый остановить.,2025-05-24 17:35:01.559157
97,2,707,37.17,2024-11-09 14:12:49,Мера промолчать одиннадцать возмутиться исследование решение.,2025-05-24 17:35:01.559157
98,2,8864,72.46,2024-11-07 14:48:15,Аж кпсс академик вывести рота необычный.,2025-05-24 17:35:01.559157
99,2,4258,55.49,2024-11-06 05:23:43,Соответствие возникновение видимо школьный потянуться.,2025-05-24 17:35:01.559157
100,2,7079,28.85,2024-11-06 10:19:57,Дремать около кидать палка.,2025-05-24 17:35:01.559157
101,3,7485,71.51,2024-12-30 22:40:02,Головной спалить встать солнце функция успокоиться помимо.,2025-05-24 17:35:01.559157
102,3,8702,81.18,2024-11-28 12:43:08,Песня построить эпоха увеличиваться степь страсть степь.,2025-05-24 17:35:01.559157
103,3,7072,32.59,2024-12-26 10:04:00,Пропасть волк плод вперед грудь серьезный набор.,2025-05-24 17:35:01.559157
104,3,1721,37.66,2025-02-04 22:45:28,Строительство идея тюрьма разводить изредка.,2025-05-24 17:35:01.559157
105,3,581,26.63,2024-12-16 16:09:03,Прежний неожиданно дальний передо природа одиннадцать вывести.,2025-05-24 17:35:01.559157
106,3,6279,48.73,2024-11-11 07:43:59,Монета реклама идея деньги процесс жестокий.,2025-05-24 17:35:01.559157
107,3,9291,7.77,2024-11-28 02:19:35,Каюта призыв выраженный остановить промолчать.,2025-05-24 17:35:01.559157
108,3,23,14.73,2025-02-03 06:58:33,Природа граница настать цель изредка.,2025-05-24 17:35:01.559157
109,3,7939,73.62,2025-01-10 23:36:58,Означать демократия командование.,2025-05-24 17:35:01.559157
110,3,9061,36.68,2024-12-12 18:45:10,Находить левый запретить господь пятеро мальчишка.,2025-05-24 17:35:01.559157
111,3,4416,17.07,2024-11-13 14:09:39,Крутой наслаждение неожиданно уничтожение тута теория засунуть свежий.,2025-05-24 17:35:01.559157
