attendance_id,student_id,schedule_id,status,attendance_date,check_time,notes
1,9540,99,2025-04-24,present,18:10:30,
2,725,99,2025-04-24,present,17:01:32,
3,3734,99,2025-04-24,absent,,
4,6896,99,2025-04-24,present,7:18:42,
5,6005,99,2025-04-24,present,3:22:28,
6,2453,99,2025-04-24,present,22:48:08,
7,9061,99,2025-04-24,absent,,
8,2126,99,2025-04-24,excused,,Господь адвокат естественный пробовать сохранять расстройство возникновение.
9,7042,99,2025-04-24,present,20:58:48,
10,5135,99,2025-04-24,present,20:47:23,
11,4416,99,2025-04-24,present,4:46:50,
12,598,99,2025-04-24,excused,,Деньги пища механический мимо через.
13,1725,99,2025-04-24,present,3:03:37,
14,230,99,2025-04-24,present,20:42:49,
15,3293,99,2025-04-24,late,13:03:09,
16,5300,99,2025-04-24,present,2:06:37,
17,5499,99,2025-04-24,late,8:17:08,
18,5659,99,2025-04-24,present,18:52:40,
19,3744,99,2025-04-24,absent,,
20,5823,99,2025-04-24,excused,,Второй витрина крутой заявление чувство спасть табак.
21,1712,99,2025-04-24,excused,,Спорт ручей цепочка достоинство сверкающий затянуться.
22,9632,99,2025-04-24,present,7:33:39,
23,8800,99,2025-04-24,excused,,Головка коммунизм смертельный художественный.
24,9944,99,2025-04-24,present,4:16:56,
25,7846,99,2025-04-24,present,0:42:20,
26,7311,99,2025-04-24,present,14:52:02,
27,4090,99,2025-04-24,present,3:40:44,
28,9291,99,2025-04-24,present,20:06:21,
29,620,99,2025-04-24,present,14:49:42,
30,9974,99,2025-04-24,present,3:35:54,
31,9601,174,2025-04-14,present,0:59:22,
32,4736,174,2025-04-14,present,10:32:43,
33,4617,174,2025-04-14,present,0:08:34,
34,3293,174,2025-04-14,excused,,Валюта командование направо кузнец правильный правление.
35,1431,174,2025-04-14,present,14:23:01,
36,1725,174,2025-04-14,present,0:48:58,
37,9,174,2025-04-14,present,21:19:24,
38,518,174,2025-04-14,late,13:52:39,
39,80,174,2025-04-14,present,23:02:48,
40,9974,174,2025-04-14,present,16:45:35,
41,8411,174,2025-04-14,present,10:20:12,
42,9985,174,2025-04-14,absent,,
43,2216,174,2025-04-14,present,13:36:33,
44,8864,174,2025-04-14,present,2:27:03,
45,5548,174,2025-04-14,late,14:52:19,
46,7789,174,2025-04-14,absent,,
47,832,174,2025-04-14,present,23:13:48,
48,1488,174,2025-04-14,late,21:42:49,
49,2230,174,2025-04-14,late,5:28:28,
50,4258,174,2025-04-14,present,23:30:07,
51,1714,174,2025-04-14,absent,,
52,6234,174,2025-04-14,absent,,
53,1944,174,2025-04-14,present,20:48:18,
54,6167,174,2025-04-14,present,16:15:16,
55,4090,174,2025-04-14,present,15:44:59,
56,7115,174,2025-04-14,present,11:43:36,
57,7469,174,2025-04-14,present,23:16:29,
58,9308,174,2025-04-14,present,1:18:52,
59,9832,174,2025-04-14,absent,,
60,3253,174,2025-04-14,present,22:56:06,
61,6720,261,2025-05-21,present,3:32:39,
62,5218,261,2025-05-21,late,2:08:04,
63,230,261,2025-05-21,absent,,
64,725,261,2025-05-21,present,11:46:04,
65,23,261,2025-05-21,absent,,
66,3743,261,2025-05-21,present,10:35:20,
67,5461,261,2025-05-21,absent,,
68,6097,261,2025-05-21,present,3:10:42,
69,8795,261,2025-05-21,excused,,Ярко снимать темнеть валюта.
70,9632,261,2025-05-21,present,17:54:12,
71,8864,261,2025-05-21,present,0:49:47,
72,6809,261,2025-05-21,present,21:03:27,
73,3091,261,2025-05-21,present,1:26:42,
74,1645,261,2025-05-21,present,16:13:18,
75,6234,261,2025-05-21,late,4:05:51,
76,5887,261,2025-05-21,absent,,
77,4090,261,2025-05-21,present,20:21:25,
78,685,261,2025-05-21,present,12:53:51,
79,539,261,2025-05-21,present,18:58:31,
80,4209,261,2025-05-21,excused,,Ход бегать налоговый еврейский.
81,6576,261,2025-05-21,absent,,
82,7469,261,2025-05-21,late,7:20:17,
83,3751,261,2025-05-21,present,7:28:08,
84,2453,261,2025-05-21,present,17:14:46,
85,5659,261,2025-05-21,present,14:31:27,
86,2021,261,2025-05-21,present,6:42:18,
87,1048,261,2025-05-21,present,3:26:38,
88,49,261,2025-05-21,late,13:28:04,
89,3233,261,2025-05-21,present,23:02:17,
90,8724,261,2025-05-21,present,11:46:14,
91,9944,313,2024-12-24,excused,,Наткнуться валюта опасность дремать помимо выдержать за спалить.
92,4941,313,2024-12-24,present,10:24:31,
93,8893,313,2024-12-24,present,18:16:50,
94,5865,313,2024-12-24,present,20:33:11,
95,6005,313,2024-12-24,present,0:25:18,
96,832,313,2024-12-24,absent,,
97,9902,313,2024-12-24,present,13:21:15,
