enrollment_id,student_id,course_id,enrollment_date
1,4258,1,2024-08-08
2,1808,1,2024-09-09
3,4209,1,2024-09-01
4,449,1,2024-09-09
5,80,1,2024-08-07
6,5575,1,2024-09-11
7,53,1,2024-09-08
8,3743,1,2024-09-22
9,5823,1,2024-08-31
10,5473,1,2024-09-25
11,230,1,2024-08-12
12,6809,1,2024-08-13
13,8893,1,2024-09-14
14,1275,1,2024-09-26
15,8824,1,2024-08-07
16,5300,1,2024-08-29
17,7842,1,2024-09-03
18,5548,1,2024-09-17
19,5180,1,2024-08-31
20,49,1,2024-08-18
21,7079,1,2024-09-05
22,2509,1,2024-09-19
23,9,1,2024-09-04
24,3339,1,2024-08-07
25,9488,1,2024-08-24
26,2021,1,2024-09-14
27,4656,1,2024-08-29
28,5415,1,2024-08-05
29,1599,1,2024-08-31
30,5499,1,2024-09-05
31,9944,1,2024-09-29
32,4039,1,2024-08-07
33,8864,1,2024-08-21
34,5296,1,2024-09-08
35,7469,1,2024-08-22
36,4864,1,2024-09-02
37,6363,1,2024-09-09
38,1645,1,2024-09-07
39,8015,1,2024-09-21
40,7311,1,2024-09-17
41,6653,1,2024-09-14
42,8666,1,2024-08-08
43,6349,1,2024-08-31
44,1602,1,2024-08-31
45,518,1,2024-08-05
46,9291,1,2024-08-28
47,7682,1,2024-08-31
48,1944,1,2024-09-22
49,62,1,2024-08-25
50,4617,1,2024-09-25
51,725,1,2024-09-17
52,620,1,2024-09-13
53,8800,1,2024-08-15
54,5461,1,2024-08-19
55,642,1,2024-08-19
56,9186,1,2024-08-26
57,7789,1,2024-08-02
58,4294,1,2024-08-23
59,5740,1,2024-09-06
60,7485,1,2024-09-19
61,1746,1,2024-09-26
62,9601,1,2024-08-23
63,1712,1,2024-09-15
64,2126,1,2024-09-21
65,8942,1,2024-09-12
66,7165,1,2024-09-16
67,5934,1,2024-08-28
68,4736,1,2024-09-11
69,3865,1,2024-08-02
70,9632,1,2024-09-17
71,6576,1,2024-08-13
72,3993,1,2024-09-07
73,1721,1,2024-09-12
74,1215,1,2024-08-11
75,3751,1,2024-09-14
76,2682,1,2024-09-13
77,716,1,2024-09-27
78,3562,1,2024-09-06
79,8719,1,2024-09-02
80,9985,1,2024-09-11
81,7063,1,2024-08-06
82,707,1,2024-08-26
83,9974,1,2024-08-21
84,5799,1,2024-09-07
85,5659,1,2024-08-16
86,598,1,2024-09-13
87,4527,1,2024-08-04
88,23,1,2024-08-05
89,8599,1,2024-09-21
90,7939,1,2024-08-20
91,6896,1,2024-09-13
92,9144,1,2024-08-05
93,1352,1,2024-08-11
94,7434,1,2024-09-10
95,1431,1,2024-09-24
96,6279,1,2024-08-19
97,6730,1,2024-08-15
98,1714,1,2024-08-18
99,8529,1,2024-09-11
100,8429,1,2024-08-03
101,7042,1,2024-09-30
102,6005,1,2024-09-06
103,3091,1,2024-09-04
104,8702,1,2024-09-10
105,9511,1,2024-09-20
106,6720,1,2024-08-25
107,5633,1,2024-09-26
108,4177,1,2024-09-04
109,2230,1,2024-08-08
110,7846,1,2024-09-03
111,8724,1,2024-08-28
112,2424,1,2024-09-17
113,3065,1,2024-09-17
114,5880,1,2024-08-18
115,1725,1,2024-09-22
116,7115,1,2024-08-05
117,9026,1,2024-09-29
118,3986,1,2024-09-10
119,2076,1,2024-09-16
120,5637,1,2024-08-09
121,5865,1,2024-09-13
122,7871,1,2024-08-07
123,9146,1,2024-08-09
124,6436,1,2024-08-31
125,8411,1,2024-09-10
126,5452,1,2024-08-29
127,4939,1,2024-09-27
128,6541,1,2024-08-04
129,6640,1,2024-09-11
130,6234,1,2024-09-10
131,3253,1,2024-09-07
132,3606,1,2024-09-13
133,6164,1,2024-08-14
134,969,1,2024-08-04
135,539,1,2024-08-26
136,6167,1,2024-08-14
137,1488,1,2024-08-22
138,7891,1,2024-08-13
139,7562,1,2024-09-02
140,2354,1,2024-09-05
141,9603,1,2024-09-29
142,2453,1,2024-09-25
143,3695,1,2024-09-14
144,3734,1,2024-09-26
145,8705,1,2024-08-20
146,5298,1,2024-08-05
147,5135,1,2024-08-14
148,4638,1,2024-08-19
149,8656,1,2024-08-26
150,9902,1,2024-08-15
151,1561,1,2024-08-20
152,9123,1,2024-09-11
153,5218,1,2024-08-21
154,6597,1,2024-08-25
