grade_id,student_id,course_id,grade,grade_date,exam_type
1,8712,22,2.1,2025-03-08,экзамен
2,9836,49,3.3,2024-09-23,курсовая
3,9462,22,4.4,2025-03-20,экзамен
4,4520,16,4.4,2024-12-09,курсовая
5,5283,47,2.0,2024-12-18,курсовая
6,5485,19,4.6,2025-06-14,экзамен
7,491,30,3.5,2025-04-02,зачет
8,7784,17,2.7,2025-01-26,курсовая
9,8107,39,2.8,2025-03-20,зачет
10,4864,1,2.7,2024-11-23,зачет
11,6428,18,3.9,2025-03-29,зачет
12,6562,32,4.1,2024-10-30,экзамен
13,8099,11,4.2,2025-06-19,зачет
14,9554,14,3.9,2025-04-12,курсовая
15,7622,21,2.4,2025-03-07,экзамен
16,2383,43,3.3,2024-09-02,курсовая
17,6392,17,4.0,2025-05-02,курсовая
18,5438,20,2.7,2025-06-20,экзамен
19,577,30,2.4,2025-02-08,экзамен
20,189,3,3.4,2025-01-11,экзамен
21,6124,13,2.2,2024-09-07,курсовая
22,7910,35,4.4,2025-02-08,зачет
23,7835,27,3.3,2024-09-02,курсовая
24,9345,41,4.6,2024-12-27,экзамен
25,646,14,2.3,2025-02-24,зачет
26,6038,38,4.6,2025-01-23,экзамен
27,6364,12,3.8,2025-05-12,курсовая
28,167,2,4.8,2024-12-30,экзамен
29,8562,29,2.5,2024-10-07,экзамен
30,623,20,3.0,2025-06-26,зачет
31,95,10,2.1,2024-11-30,экзамен
32,1349,17,3.1,2025-03-13,зачет
33,5845,4,2.7,2024-11-13,курсовая
34,9776,24,2.5,2025-01-02,курсовая
35,2418,37,2.8,2025-04-20,зачет
36,6008,23,3.0,2025-03-03,зачет
37,3568,48,2.4,2025-06-15,экзамен
38,5138,10,4.9,2025-05-23,курсовая
39,5228,5,4.3,2025-05-05,зачет
40,3199,19,4.4,2025-05-17,курсовая
41,9518,6,3.1,2024-10-26,курсовая
42,1415,5,3.2,2024-10-24,зачет
43,3360,12,4.8,2025-04-05,экзамен
44,4000,36,2.2,2025-05-14,курсовая
45,7221,30,3.0,2025-01-26,курсовая
46,694,14,2.0,2025-03-13,зачет
47,7251,31,3.1,2025-02-26,курсовая
48,1098,44,4.5,2025-02-05,экзамен
49,3511,19,4.7,2024-11-14,зачет
50,1074,33,3.6,2025-02-05,экзамен
51,8067,38,2.1,2025-03-14,зачет
52,8364,12,2.3,2025-05-14,курсовая
53,7564,14,4.9,2024-09-08,экзамен
54,6345,7,4.4,2025-03-03,курсовая
