schedule_id,course_id,teacher_id,classroom,class_time,duration
1,34,184,Корпус-4 ауд-327,2024-12-30 09:00:00,90
2,7,177,Корпус-1 ауд-439,2025-03-19 17:30:00,120
3,29,3,Корпус-1 ауд-465,2025-06-30 13:30:00,90
4,7,177,Корпус-3 ауд-363,2024-10-11 15:30:00,90
5,22,58,Корпус-3 ауд-180,2025-06-23 11:00:00,90
6,37,130,Корпус-3 ауд-548,2024-11-22 17:30:00,120
7,18,105,Корпус-4 ауд-278,2025-02-24 11:00:00,90
8,20,173,Корпус-3 ауд-517,2024-09-16 17:30:00,120
9,17,63,Корпус-1 ауд-586,2025-05-26 13:30:00,90
10,12,37,Корпус-4 ауд-163,2025-05-05 17:30:00,120
11,38,123,Корпус-2 ауд-480,2025-03-21 13:30:00,90
12,41,15,Корпус-2 ауд-434,2025-05-20 11:00:00,90
13,42,68,Корпус-2 ауд-488,2025-02-12 11:00:00,90
14,9,77,Корпус-2 ауд-583,2025-04-16 15:30:00,90
15,38,123,Корпус-3 ауд-445,2025-03-05 15:30:00,90
16,2,183,Корпус-4 ауд-354,2024-11-11 15:30:00,90
17,43,63,Корпус-3 ауд-562,2024-11-14 11:00:00,90
18,19,104,Корпус-3 ауд-372,2025-05-22 15:30:00,90
19,9,77,Корпус-1 ауд-205,2024-09-09 09:00:00,90
20,29,3,Корпус-3 ауд-462,2024-09-23 17:30:00,120
21,40,122,Корпус-5 ауд-147,2025-06-20 13:30:00,90
22,29,3,Корпус-4 ауд-567,2025-05-12 15:30:00,90
23,41,15,Корпус-2 ауд-544,2025-03-20 17:30:00,120
24,11,6,Корпус-4 ауд-143,2024-12-05 17:30:00,120
25,15,169,Корпус-1 ауд-346,2024-10-02 13:30:00,90
26,18,105,Корпус-4 ауд-554,2024-09-25 15:30:00,90
27,15,169,Корпус-4 ауд-526,2024-09-16 13:30:00,90
28,37,130,Корпус-2 ауд-506,2025-01-31 09:00:00,90
29,38,123,Корпус-1 ауд-484,2024-10-02 11:00:00,90
30,36,70,Корпус-2 ауд-288,2024-12-19 15:30:00,90
31,5,121,Корпус-5 ауд-436,2025-04-01 11:00:00,90
32,4,195,Корпус-1 ауд-211,2024-11-18 11:00:00,90
33,30,92,Корпус-2 ауд-298,2025-03-03 17:30:00,120
34,21,99,Корпус-2 ауд-552,2025-06-13 13:30:00,90
35,9,77,Корпус-5 ауд-328,2025-01-30 15:30:00,90
36,8,136,Корпус-2 ауд-263,2025-03-21 09:00:00,90
37,37,130,Корпус-5 ауд-488,2025-01-20 09:00:00,90
38,4,195,Корпус-1 ауд-438,2025-01-03 15:30:00,90
39,22,58,Корпус-5 ауд-452,2025-05-07 11:00:00,90
40,13,178,Корпус-5 ауд-252,2025-06-09 15:30:00,90
41,19,104,Корпус-3 ауд-585,2024-11-01 15:30:00,90
42,4,195,Корпус-1 ауд-193,2025-05-06 15:30:00,90
43,28,20,Корпус-3 ауд-412,2025-03-03 17:30:00,120
44,43,63,Корпус-4 ауд-443,2024-10-21 11:00:00,90
45,3,30,Корпус-5 ауд-302,2025-03-10 11:00:00,90
46,40,122,Корпус-3 ауд-301,2025-03-04 13:30:00,90
47,42,68,Корпус-2 ауд-397,2025-06-25 09:00:00,90
48,6,168,Корпус-3 ауд-132,2025-06-23 17:30:00,120
49,46,80,Корпус-4 ауд-555,2025-01-14 15:30:00,90
50,43,63,Корпус-1 ауд-131,2025-06-16 15:30:00,90
51,17,63,Корпус-4 ауд-174,2025-03-18 09:00:00,90
52,39,12,Корпус-3 ауд-447,2025-01-20 09:00:00,90
53,19,104,Корпус-3 ауд-128,2025-05-09 15:30:00,90
54,49,141,Корпус-4 ауд-545,2024-12-06 09:00:00,90
55,47,76,Корпус-5 ауд-155,2024-10-15 09:00:00,90
56,43,63,Корпус-3 ауд-491,2025-06-02 11:00:00,90
57,34,184,Корпус-4 ауд-483,2024-11-04 11:00:00,90
58,15,169,Корпус-4 ауд-286,2025-03-17 11:00:00,90
59,37,130,Корпус-2 ауд-491,2024-11-25 17:30:00,120
60,9,77,Корпус-5 ауд-483,2024-10-17 17:30:00,120
61,18,105,Корпус-4 ауд-335,2025-05-02 15:30:00,90
62,34,184,Корпус-1 ауд-271,2024-12-19 13:30:00,90
63,47,76,Корпус-5 ауд-403,2024-10-14 17:30:00,120
64,25,189,Корпус-1 ауд-342,2025-06-09 09:00:00,90
65,22,58,Корпус-5 ауд-571,2024-12-16 17:30:00,120
66,19,104,Корпус-5 ауд-491,2025-05-20 17:30:00,120
67,3,30,Корпус-3 ауд-249,2024-11-29 17:30:00,120
68,22,58,Корпус-4 ауд-104,2025-05-05 09:00:00,90
69,31,179,Корпус-2 ауд-393,2025-05-19 11:00:00,90
70,43,63,Корпус-1 ауд-208,2025-03-24 11:00:00,90
71,18,105,Корпус-5 ауд-392,2024-12-09 11:00:00,90
72,37,130,Корпус-3 ауд-315,2024-09-20 09:00:00,90
73,44,50,Корпус-1 ауд-227,2025-03-12 15:30:00,90
74,23,200,Корпус-5 ауд-532,2024-10-21 17:30:00,120
75,36,70,Корпус-1 ауд-284,2025-02-18 15:30:00,90
76,37,130,Корпус-1 ауд-454,2025-02-18 11:00:00,90
77,4,195,Корпус-5 ауд-134,2024-12-03 17:30:00,120
78,26,69,Корпус-2 ауд-458,2024-10-14 13:30:00,90
79,41,15,Корпус-5 ауд-280,2025-06-12 15:30:00,90
80,23,200,Корпус-1 ауд-342,2025-02-24 15:30:00,90
81,31,179,Корпус-3 ауд-272,2025-03-11 17:30:00,120
82,15,169,Корпус-2 ауд-179,2024-12-02 11:00:00,90
83,34,184,Корпус-3 ауд-285,2025-02-18 11:00:00,90
84,34,184,Корпус-5 ауд-265,2025-01-14 17:30:00,120
85,8,136,Корпус-1 ауд-545,2025-03-31 15:30:00,90
86,17,63,Корпус-1 ауд-501,2025-03-17 11:00:00,90
87,45,43,Корпус-5 ауд-498,2025-01-27 11:00:00,90
88,15,169,Корпус-2 ауд-508,2024-10-09 11:00:00,90
89,30,92,Корпус-2 ауд-378,2025-03-28 15:30:00,90
90,24,158,Корпус-5 ауд-354,2025-01-29 09:00:00,90
91,21,99,Корпус-2 ауд-279,2025-03-04 17:30:00,120
