course_id,assignment_type,title,description,max_score,due_date
Психология 303,реферат,Реферат по Введение,Подробное описание реферат работы по курсу Введение в психологию,37,2025-07-17
Психология 303,другое,Другое по Введение,Подробное описание другое работы по курсу Введение в психологию,45,2025-07-03
Психология 303,реферат,Реферат по Введение,Подробное описание реферат работы по курсу Введение в психологию,26,2025-06-19
История 652,доклад,Доклад по Мировая,Подробное описание доклад работы по курсу Мировая история,43,2025-06-19
История 652,лабораторная,Лабораторная по Мировая,Подробное описание лабораторная работы по курсу Мировая история,100,2025-06-26
История 652,практическая,Практическая по Мировая,Подробное описание практическая работы по курсу Мировая история,100,2025-07-03
Медицина 325,реферат,Реферат по Основы,Подробное описание реферат работы по курсу Основы медицинских знаний,20,2025-07-17
Медицина 325,другое,Другое по Основы,Подробное описание другое работы по курсу Основы медицинских знаний,25,2025-05-29
Медицина 325,доклад,Доклад по Основы,Подробное описание доклад работы по курсу Основы медицинских знаний,31,2025-07-03
Медицина 736,доклад,Доклад по Основы,Подробное описание доклад работы по курсу Основы медицинских знаний,47,2025-06-26
Медицина 736,другое,Другое по Основы,Подробное описание другое работы по курсу Основы медицинских знаний,50,2025-07-03
Медицина 736,лабораторная,Лабораторная по Основы,Подробное описание лабораторная работы по курсу Основы медицинских знаний,100,2025-07-17
Биология 390,другое,Другое по Основы,Подробное описание другое работы по курсу Основы биологии,50,2025-06-05
Биология 390,лабораторная,Лабораторная по Основы,Подробное описание лабораторная работы по курсу Основы биологии,100,2025-06-12
Биология 390,доклад,Доклад по Основы,Подробное описание доклад работы по курсу Основы биологии,49,2025-07-17
Психология 461,другое,Другое по Введение,Подробное описание другое работы по курсу Введение в психологию,21,2025-06-05
Психология 461,практическая,Практическая по Введение,Подробное описание практическая работы по курсу Введение в психологию,100,2025-07-03
Психология 461,доклад,Доклад по Введение,Подробное описание доклад работы по курсу Введение в психологию,46,2025-06-26
Математический анализ 560,лабораторная,Лабораторная по Основы,Подробное описание лабораторная работы по курсу Основы математического анализа,100,2025-06-12
Математический анализ 560,другое,Другое по Основы,Подробное описание другое работы по курсу Основы математического анализа,35,2025-07-03
Математический анализ 560,реферат,Реферат по Основы,Подробное описание реферат работы по курсу Основы математического анализа,27,2025-07-10
Экономика 526,доклад,Доклад по Принципы,Подробное описание доклад работы по курсу Принципы экономики,37,2025-05-29
Экономика 526,доклад,Доклад по Принципы,Подробное описание доклад работы по курсу Принципы экономики,48,2025-06-12
Экономика 526,лабораторная,Лабораторная по Принципы,Подробное описание лабораторная работы по курсу Принципы экономики,100,2025-06-19
Психология 734,практическая,Практическая по Введение,Подробное описание практическая работы по курсу Введение в психологию,100,2025-07-03
Психология 734,другое,Другое по Введение,Подробное описание другое работы по курсу Введение в психологию,48,2025-07-17
Психология 734,лабораторная,Лабораторная по Введение,Подробное описание лабораторная работы по курсу Введение в психологию,100,2025-06-12
Биология 196,реферат,Реферат по Основы,Подробное описание реферат работы по курсу Основы биологии,31,2025-05-29
Биология 196,лабораторная,Лабораторная по Основы,Подробное описание лабораторная работы по курсу Основы биологии,100,2025-06-12
Биология 196,лабораторная,Лабораторная по Основы,Подробное описание лабораторная работы по курсу Основы биологии,100,2025-06-12
Медицина 307,доклад,Доклад по Основы,Подробное описание доклад работы по курсу Основы медицинских знаний,45,2025-05-29
Медицина 307,доклад,Доклад по Основы,Подробное описание доклад работы по курсу Основы медицинских знаний,35,2025-06-26
Медицина 307,лабораторная,Лабораторная по Основы,Подробное описание лабораторная работы по курсу Основы медицинских знаний,100,2025-06-26
Психология 406,лабораторная,Лабораторная по Введение,Подробное описание лабораторная работы по курсу Введение в психологию,100,2025-06-05
Психология 406,другое,Другое по Введение,Подробное описание другое работы по курсу Введение в психологию,36,2025-05-29
Психология 406,реферат,Реферат по Введение,Подробное описание реферат работы по курсу Введение в психологию,26,2025-07-03
Право 815,практическая,Практическая по Основы,Подробное описание практическая работы по курсу Основы юриспруденции,100,2025-05-29
Право 815,реферат,Реферат по Основы,Подробное описание реферат работы по курсу Основы юриспруденции,43,2025-06-05
Право 815,лабораторная,Лабораторная по Основы,Подробное описание лабораторная работы по курсу Основы юриспруденции,100,2025-06-19
Математический анализ 867,другое,Другое по Основы,Подробное описание другое работы по курсу Основы математического анализа,37,2025-06-12
Математический анализ 867,доклад,Доклад по Основы,Подробное описание доклад работы по курсу Основы математического анализа,31,2025-06-05
Математический анализ 867,доклад,Доклад по Основы,Подробное описание доклад работы по курсу Основы математического анализа,30,2025-06-05
Программирование 984,лабораторная,Лабораторная по Базовые,Подробное описание лабораторная работы по курсу Базовые концепции программирования,100,2025-05-29
Программирование 984,реферат,Реферат по Базовые,Подробное описание реферат работы по курсу Базовые концепции программирования,41,2025-05-29
Программирование 984,другое,Другое по Базовые,Подробное описание другое работы по курсу Базовые концепции программирования,37,2025-07-17
История 393,лабораторная,Лабораторная по Мировая,Подробное описание лабораторная работы по курсу Мировая история,100,2025-06-12
История 393,лабораторная,Лабораторная по Мировая,Подробное описание лабораторная работы по курсу Мировая история,100,2025-06-12
История 393,практическая,Практическая по Мировая,Подробное описание практическая работы по курсу Мировая история,100,2025-06-19
История 155,лабораторная,Лабораторная по Мировая,Подробное описание лабораторная работы по курсу Мировая история,100,2025-06-19
История 155,практическая,Практическая по Мировая,Подробное описание практическая работы по курсу Мировая история,100,2025-06-05
История 155,реферат,Реферат по Мировая,Подробное описание реферат работы по курсу Мировая история,50,2025-07-17
Химия 964,лабораторная,Лабораторная по Общая,Подробное описание лабораторная работы по курсу Общая химия,100,2025-06-05
Химия 964,реферат,Реферат по Общая,Подробное описание реферат работы по курсу Общая химия,49,2025-07-17
Химия 964,реферат,Реферат по Общая,Подробное описание реферат работы по курсу Общая химия,37,2025-07-03
Право 141,практическая,Практическая по Основы,Подробное описание практическая работы по курсу Основы юриспруденции,100,2025-05-29
Право 141,лабораторная,Лабораторная по Основы,Подробное описание лабораторная работы по курсу Основы юриспруденции,100,2025-07-10
Право 141,реферат,Реферат по Основы,Подробное описание реферат работы по курсу Основы юриспруденции,34,2025-05-29
